Order_ID,Date,Category,Sub_Category,Product,Region,Sales,Quantity,Discount,Profit
1001,2024-01-05,Technology,Phones,Samsung Galaxy S23,East,1200.50,2,0.10,350.00
1002,2024-01-08,Furniture,Chairs,Ergonomic Office Chair,West,450.00,1,0.05,120.00
1003,2024-01-12,Office Supplies,Binders,Heavy Duty Binder,Central,35.00,10,0.00,12.00
1004,2024-01-15,Technology,Laptops,Dell Inspiron 15,South,850.00,1,0.15,200.00
1005,2024-01-18,Furniture,Tables,Wooden Study Table,East,620.00,1,0.00,180.00
1006,2024-01-20,Office Supplies,Pens,Ball Point Pen Set,West,25.00,20,0.00,10.00
1007,2024-01-22,Technology,Accessories,Wireless Mouse,Central,45.00,5,0.05,15.00
1008,2024-01-25,Furniture,Bookshelves,5-Shelf Bookcase,South,310.00,1,0.10,85.00
1009,2024-02-02,Technology,Tablets,iPad Air,East,750.00,2,0.10,220.00
1010,2024-02-05,Office Supplies,Paper,A4 Printing Paper,West,15.00,50,0.00,5.00
1011,2024-02-08,Technology,Phones,iPhone 15,South,1400.00,3,0.05,410.00
1012,2024-02-10,Furniture,Chairs,Mesh Back Chair,Central,380.00,2,0.00,100.00
1013,2024-02-14,Office Supplies,Notebooks,Spiral Notebook,East,12.00,30,0.00,4.00
1014,2024-02-18,Technology,Laptops,HP Pavilion,West,720.00,2,0.10,180.00
1015,2024-02-20,Furniture,Desks,Standing Desk,South,950.00,1,0.15,260.00
1016,2024-02-25,Office Supplies,Staplers,Electric Stapler,Central,55.00,8,0.05,18.00
1017,2024-03-01,Technology,Accessories,USB-C Hub,East,80.00,10,0.00,30.00
1018,2024-03-05,Furniture,Sofas,3-Seater Sofa,West,1800.00,1,0.20,400.00
1019,2024-03-08,Office Supplies,Folders,Document Folder,South,8.00,100,0.00,3.00
1020,2024-03-12,Technology,Phones,OnePlus 12,Central,950.00,2,0.05,280.00
1021,2024-03-15,Furniture,Tables,Glass Coffee Table,East,520.00,1,0.10,140.00
1022,2024-03-18,Technology,Laptops,MacBook Air M2,West,1300.00,1,0.00,380.00
1023,2024-03-22,Office Supplies,Pens,Gel Ink Pen Set,South,30.00,15,0.00,10.00
1024,2024-03-25,Furniture,Chairs,Recliner Chair,Central,850.00,1,0.10,230.00
1025,2024-04-01,Technology,Tablets,Samsung Galaxy Tab,East,620.00,3,0.05,175.00
1026,2024-04-05,Office Supplies,Paper,Glossy Photo Paper,West,22.00,40,0.00,8.00
1027,2024-04-08,Technology,Accessories,Keyboard Wireless,South,120.00,6,0.05,40.00
1028,2024-04-12,Furniture,Bookshelves,Wall Mounted Shelf,Central,180.00,4,0.00,55.00
1029,2024-04-15,Technology,Phones,Motorola Edge,East,680.00,2,0.10,190.00
1030,2024-04-18,Office Supplies,Notebooks,Hardcover Journal,West,18.00,25,0.00,6.00
1031,2024-04-22,Furniture,Desks,L-Shaped Desk,South,1100.00,1,0.10,300.00
1032,2024-04-25,Technology,Laptops,Lenovo ThinkPad,Central,1050.00,2,0.05,290.00
1033,2024-05-01,Office Supplies,Binders,Ring Binder A4,East,28.00,12,0.00,9.00
1034,2024-05-05,Furniture,Chairs,Gaming Chair,West,750.00,2,0.15,200.00
1035,2024-05-08,Technology,Accessories,External SSD 1TB,South,150.00,4,0.05,50.00
1036,2024-05-12,Office Supplies,Staplers,Manual Stapler,Central,20.00,20,0.00,7.00
1037,2024-05-15,Technology,Phones,Google Pixel 8,East,950.00,1,0.00,270.00
1038,2024-05-18,Furniture,Tables,Dining Table,West,980.00,1,0.10,270.00
1039,2024-05-22,Office Supplies,Paper,Colored Card Stock,South,18.00,35,0.00,6.00
1040,2024-05-25,Technology,Tablets,Xiaomi Pad 6,Central,420.00,3,0.05,120.00
1041,2024-06-01,Furniture,Sofas,L-Shaped Sofa,East,2200.00,1,0.20,500.00
1042,2024-06-05,Technology,Laptops,ASUS VivoBook,West,650.00,2,0.10,175.00
1043,2024-06-08,Office Supplies,Pens,Fountain Pen,South,45.00,10,0.00,15.00
1044,2024-06-12,Technology,Accessories,Webcam HD,Central,90.00,5,0.05,30.00
1045,2024-06-15,Furniture,Chairs,Bar Stool Set,East,420.00,3,0.10,110.00
1046,2024-06-18,Office Supplies,Notebooks,Sticky Notes Pack,West,10.00,60,0.00,4.00
1047,2024-06-22,Technology,Phones,Realme 12 Pro,South,480.00,4,0.05,135.00
1048,2024-06-25,Furniture,Bookshelves,Corner Shelf,Central,250.00,2,0.00,75.00
1049,2024-07-02,Technology,Laptops,HP Spectre x360,East,1450.00,1,0.05,400.00
1050,2024-07-05,Office Supplies,Binders,Lever Arch File,West,22.00,18,0.00,7.00
1051,2024-07-08,Furniture,Desks,Executive Desk,South,1350.00,1,0.15,370.00
1052,2024-07-12,Technology,Accessories,Noise Cancel Headphones,Central,200.00,3,0.10,65.00
1053,2024-07-15,Office Supplies,Staplers,Heavy Duty Stapler,East,65.00,5,0.00,22.00
1054,2024-07-18,Technology,Phones,Vivo V30,West,520.00,3,0.05,145.00
1055,2024-07-22,Furniture,Tables,Round Coffee Table,South,380.00,2,0.10,100.00
1056,2024-07-25,Office Supplies,Paper,Tracing Paper,Central,14.00,45,0.00,5.00
1057,2024-08-01,Technology,Tablets,Amazon Fire HD,East,190.00,5,0.05,55.00
